loan_id,customer_id,branch_id,loan_type,loan_amount,approved_amount,outstanding_balance,interest_rate,term_months,start_date,end_date,monthly_payment,loan_status,collateral_type,purpose,days_past_due,num_missed_payments,credit_score_at_origination,approved_by
LOAN000291,CUST004967,BR016,Student,34414.19,28461.42,5931.1,17.206,240.0,10-10-14,"July 01, 2030",143.39,Delinquent,Property,Home improvement,14.0,13.0,816.0,Juan Lane
LOAN000292,CUST003517,BR043,Personal,5738.21,USD 5704.36,3502.21,3.456,48.0,"June 07, 2010",17-05-2014,119.55,Defaulted,Property,Travel,186.0,10.0,711.0,James Harris
LOAN000293,CUST002501,,Auto,56143.57,50965.62,2706.3,4.171,48.0,"August 04, 2012",07/14/2016,"$1,169.66",Paid,None,Debt consolidation,0.0,0.0,391.0,Richard Simmons
LOAN000294,CUST003461,BR012,Mortgage,10768.31,10718.81,8298.02,11.162,180.0,21-05-2023,03/03/2038,59.82,Delinquent,Stocks,Wedding,93.0,19.0,447.0,Deanna Noble
LOAN000295,,BR006,Mortgage,11598.68,9788.8,2834.61,,240.0,"April 24, 2020",99/99/9999,48.33,Paid Off,Stocks,,,0.0,393.0,
LOAN000296,CUST002237,BR007,Home Equity,59107.43,58343.45,2202.22,7.328,36.0,22-10-02,16-09-2025,1641.87,Delinquent,N/A,Travel,269.0,22.0,844.0,Angela Miller
LOAN000297,CUST002088,BR011,Auto,56115.44,52951.36,21675.98,12.477,180.0,"January 31, 2020",34-11-13,311.75,Active,property,Travel,0.0,,,Connie Lin
LOAN000298,CUST002364,BR005,Mortgage,78391.81,,2106.44,14.267,120.0,17-08-09,27-06-18,653.27,Closed,Property,Home improvement,0.0,,718.0,Rhonda Schroeder
LOAN000299,CUST004025,BR006,Personal,100626.14,99592.65,,4.15,180.0,2010-12-17,29/09/2025,559.03,Active,,Home improvement,0.0,,485.0,Lucas Christian
LOAN000300,CUST001003,,Personal,9414.28,7655.43,971.45,6.362,12.0,2021-04-15,04/10/2022,784.52,charged off,Savings,,273.0,2.0,626.0,
LOAN000301,CUST000174,BR016,student,70090.09,,1731.09,16.141,48.0,15-12-15,24/11/2019,1460.21,Active,None,Home improvement,0.0,,601.0,
LOAN000302,CUST004153,BR040,Mortgage,34189.11,28116.66,16114.7,7.846,24.0,"November 07, 2011",10/27/2013,1424.55,Delinquent,Stocks,,78.0,19.0,529.0,Valerie Bailey
LOAN000303,CUST000278,BR029,Business,20560.54,19783.63,4372.07,6.999,180.0,2017-08-22,04/06/2032,114.23,Active,,Emergency,0.0,,459.0,Brenda Thomas
LOAN000304,CUST001872,BR046,Mortgage,12991.82,10399.44,,3.437,84.0,18-05-02,99/99/9999,154.66,past due,PROPERTY,Vehicle purchase,281.0,20.0,845.0,Corey Peterson
LOAN000305,CUST001235,BR027,Mortgage,26661.15,21780.63,7053.17,6.735,24.0,"December 16, 2018","December 05, 2020",1110.88,PAST DUE,N/A,Wedding,256.0,16.0,347.0,Shelly Wise
LOAN000306,CUST003153,BR025,Student,42155.2,37315.53,559037.0,10.566,84.0,"April 25, 2010","March 19, 2017",501.85,Paid Off,N/A,Wedding,0.0,0.0,303.0,Eric Martinez
LOAN000307,CUST001728,BR025,Student,9020.56,7979.2,4112.14,3.774,12.0,04/03/2013,14-02-27,$751.71,paid,None,Wedding,0.0,0.0,796.0,Sara Brown
LOAN000308,,BR001,Personal,43152.6,42726.18,24160.57,15.835,48.0,10-03-2016,20-02-18,899.01,delinquent,Stocks,Emergency,74.0,16.0,759.0,Amanda Arnold
LOAN000309,CUST003529,,Mortgage,47128.31,38732.87,4752.34,17.297,84.0,07-03-2017,2024-01-30,561.05,Charged Off,,Wedding,230.0,15.0,,
LOAN000310,CUST002144,BR026,Home Equity,74733.57,62812.71,34388.33,4.82,120.0,18-04-30,2028-03-08,622.78,open,None,Education,0.0,,,
LOAN000311,CUST001539,BR009,Business,"$26,342.24",,2389.46,8.702,24.0,06/03/2018,2020-05-23,109758.99999999999,closed,none,Home improvement,0.0,0.0,496.0,James Golden
LOAN000312,CUST004483,,Personal,44228.42,39059.73,8217.94,7.67,84.0,06-09-2017,"July 31, 2024",526.53,charged off,property,Vehicle purchase,219.0,8.0,444.0,
LOAN000313,CUST002405,,Auto,38318.31,34145.6,1371.68,7.271,12.0,19/11/2016,14/11/2017,3193.19,In Progress,PROPERTY,Wedding,0.0,,411.0,Krista Brown
LOAN000314,CUST001080,BR038,Mortgage,5013354.0,43517.38,39685.51,10.348,84.0,"August 30, 2021",28-07-24,"596,83",Active,PROPERTY,Travel,0.0,0.0,662.0,Erin Barnes
LOAN000315,CUST003469,BR007,Student,14995.28,13747.89,4447.5,17.225,360.0,2010-03-23,39-10-17,41.65,Defaulted,,Emergency,327.0,2.0,393.0,Dennis Williams
LOAN000316,CUST001486,BR025,auto,69207.4,66875.14,65170.46,14.342,180.0,23-12-2014,05-10-2029,384.49,Current,None,Medical,0.0,,666.0,Mrs. Daisy Burnett
LOAN000317,CUST004594,BR002,Business,1000,951.14,53.14,15.837,180.0,,,,open,Vehicle,Emergency,,,577.0,Kim Pearson
LOAN000318,CUST004040,BR016,Business,25656.88,"$20,763.83",15645.04,11.749,180.0,"September 09, 2010",06/22/2025,142.54,Defaulted,PROPERTY,,303.0,15.0,604.0,Derrick Guerrero
LOAN000319,CUST000588,BR030,Student,"$38,449.93",37538.94,11055.15,16.248,12.0,17-09-2016,12-09-2017,3204.16,active,,Debt consolidation,,,542.0,Kevin David
LOAN000320,CUST002097,BR007,Auto,66016.98,53995.42,31152.56,4.511,36.0,17/12/2021,01-12-2024,1833.8,Defaulted,Property,Education,156.0,18.0,788.0,Gina Ramirez
LOAN000321,CUST003974,BR020,Mortgage,31009.87,29122.69,1038.68,9.336,360.0,10-04-2014,11/04/2043,USD 86.14,Open,N/A,Emergency,0.0,,428.0,
LOAN000322,CUST002970,BR029,auto,20633.36,17860.05,1438.04,8.778,60.0,2015-05-02,20-04-05,343.89,closed,Vehicle,Home improvement,0.0,,735.0,Rachel Hobbs
LOAN000323,CUST003170,BR002,Home Equity,55667.63,49685.53,23890.67,10.214,,,"March 18, 2020",662.71,Defaulted,Property,Education,81.0,5.0,440.0,Amanda Whitaker
LOAN000324,CUST002459,BR044,Mortgage,82716.11,80860.03,48141.63,11.586,60.0,20-03-16,18/02/2025,1378.6,Paid Off,Savings,Travel,0.0,0.0,404.0,William Ortiz
LOAN000325,CUST000312,BR008,Auto,28395.64,28204.4,11929.46,16.437,84.0,01-10-2015,"August 25, 2022",$338.04,Defaulted,Property,Home improvement,14.0,1.0,845.0,Justin Goodwin
LOAN000326,CUST000064,BR036,Student,10608.51,8739.74,1104.95,13.201,60.0,19-11-02,06-10-2024,,Active,Stocks,Wedding,,0.0,818.0,Frances Green
LOAN000327,CUST002075,BR046,Auto,2525.57,2243.4,2317.94,11.256,12.0,06/13/2012,2013-06-08,210.46,Bad Debt,None,,359.0,8.0,553.0,William Willis
LOAN000328,CUST002202,BR012,Auto,,1285.07,388.79,8.408,180.0,21/05/2016,,7.74,paid off,Stocks,,,,623.0,Mary Vance
LOAN000329,CUST002976,BR033,Business,41754.86,35339.97,USD 18421.47,,24.0,07/09/2010,2012-06-28,"$1,739.79",closed,Stocks,,0.0,0.0,834.0,Paul Gregory
LOAN000330,,BR027,Home Equity,27968.72,26016.81,4978.2,8.645,360.0,,"August 03, 2043",77.69,Paid Off,None,Home improvement,,0.0,773.0,Glenn Phillips
LOAN000331,CUST003355,BR022,mortgage,54360.99,"$48,195.44",29821.42,12.062,120.0,24-10-2011,"September 01, 2021",453.01,active,PROPERTY,Business expansion,0.0,,,Brianna Bentley
LOAN000332,CUST003708,BR010,personal,25909.86,23602.26,20886.98,17.71,48.0,01/12/2010,2013-12-22,539.79,Closed,Savings,Vehicle purchase,0.0,0.0,405.0,Brian Tucker
LOAN000333,CUST003795,BR046,auto,15222.63,14092.95,8183.68,10.281,48.0,04/26/2023,04/05/2027,317.14,DEFAULTED,Vehicle,Travel,181.0,17.0,582.0,Emily Hansen
LOAN000334,CUST003961,BR028,personal,"$27,481.08",22557.51,11305.67,15.014,12.0,18-05-2018,05/13/2019,2290.09,Charged Off,N/A,Medical,44.0,9.0,,Chelsey Fisher
LOAN000335,CUST002375,BR003,Auto,26173.55,25895.38,22465.98,9.107,120.0,02-05-2015,10-03-2025,,Active,PROPERTY,Emergency,,0.0,562.0,Robin Carroll
LOAN000336,CUST003611,BR042,Home Equity,39081.28,35524.89,29452.13,16.338,180.0,13-01-2018,"October 26, 2032",217.12,Active,property,Education,0.0,0.0,782.0,Brian Crawford
LOAN000337,CUST002560,BR005,Auto,24017.92,23958.98,,9.579,36.0,10/06/2011,"September 20, 2014",667.16,Delinquent,none,,75.0,22.0,531.0,Tommy Moore
LOAN000338,CUST002161,BR031,Business,29604.79,26255.71,"$3,149.56",10.725,48.0,28/05/2010,05/07/2014,616.77,Paid,PROPERTY,Debt consolidation,,,659.0,Nicholas Massey
LOAN000339,CUST002471,BR028,Student,15622.22,15510.05,7762.45,13.764,360.0,21-03-2011,2040-10-14,43.4,Paid Off,none,,,0.0,650.0,Kristi Gillespie
LOAN000340,CUST004498,BR006,Auto,8999.44,7343.41,5379.11,7.284,60.0,18/11/2018,23/10/2023,149.99,Past Due,Vehicle,Travel,144.0,15.0,653.0,Christian Rice
LOAN000341,CUST002503,BR021,Personal,61373.98,54474.77,5025.98,3.936,48.0,11/28/2022,99/99/9999,,Delinquent,Vehicle,Travel,303.0,8.0,818.0,Natalie Reed
LOAN000342,CUST001269,BR032,Personal,4758.19,4516.41,3803.8,4.574,240.0,20-03-28,"December 14, 2039",19.83,Active,property,Emergency,0.0,0.0,384.0,Kimberly Green
LOAN000343,CUST003234,BR012,Personal,,,1966.87,11.902,180.0,18-06-05,33-03-18,$59.04,Defaulted,Vehicle,Vehicle purchase,34.0,17.0,559.0,
LOAN000344,CUST003521,BR028,Student,88286.84,72454.55,17645.61,3.481,12.0,21-09-26,,,Defaulted,Savings,,81.0,24.0,301.0,Dalton Santiago
LOAN000345,CUST000001,BR036,Auto,22225.51,,1284.18,17.807,24.0,2019-03-30,2021-03-19,,Delinquent,N/A,Home improvement,271.0,16.0,684.0,Troy Brown
LOAN000346,CUST003647,BR044,Home Equity,13867.99,12645.67,3507.94,9.29,240.0,13/10/2020,2040-06-30,57.78,Active,property,Wedding,0.0,,556.0,Michelle Carter
LOAN000347,CUST001311,BR045,Business,62379.88,55410.06,54620.92,3.925,36.0,07/18/2014,99/99/9999,173277.0,PAID OFF,,Home improvement,,,386.0,Paul Middleton
LOAN000348,CUST003022,BR023,Personal,14517.66,11641.22,2224.88,2.826,120.0,14-08-07,24-06-15,120.98,Paid Off,Savings,Emergency,0.0,,377.0,Rachel Mata
LOAN000349,CUST004467,BR008,Auto,32847.97,,4505.4,14.98,60.0,06/02/2016,2021-01-10,547.47,closed,N/A,Home improvement,0.0,0.0,636.0,Ryan Ortiz
LOAN000350,CUST000058,BR035,Mortgage,23394.54,23143.85,13356.11,5.991,,2012-03-01,2015-02-14,$649.85,Paid Off,Vehicle,Emergency,0.0,0.0,691.0,Bryan Aguirre
LOAN000351,CUST002038,BR009,business,"44533,46",39315.74,17267.49,4.642,12.0,11-08-09,03/08/2012,,Paid Off,Vehicle,,,0.0,812.0,Harold Howe
LOAN000352,CUST001619,BR041,Auto,"$76,803.01",72800.15,10029.72,5.126,36.0,12-04-2010,27-03-2013,2133.42,Active,property,Debt consolidation,,,,Patricia Dixon
LOAN000353,CUST004798,BR014,Home Equity,USD 53481.46,44427.53,20704.8,15.471,48.0,07/07/2020,16-06-2024,1114.2,ACTIVE,None,Emergency,,,343.0,Jennifer Carter
LOAN000354,CUST000559,BR007,Auto,63294.87,54886.76,40919.48,4.47,240.0,,12-02-2030,263.73,Paid,property,Business expansion,,,338.0,Lisa Powers
LOAN000355,CUST000184,BR033,Student,52059.34,49456.58,386.8,16.126,36.0,13-05-25,09-05-2016,1446.09,Active,None,Business expansion,,,785.0,Judith Johnson
LOAN000356,CUST002137,BR026,mortgage,34777.51,USD 28155.83,32167.66,8.332,240.0,2015-01-02,19-09-2034,144.91,Active,None,,,0.0,300.0,Robert Wilson
LOAN000357,CUST004055,BR011,Business,41435.32,38789.83,38036.14,13.448,60.0,2022-03-13,2027-02-15,690.59,Paid Off,,Medical,0.0,0.0,578.0,Jaime Vasquez
LOAN000358,CUST000485,BR008,Mortgage,35617.59,"$29,152.76",USD 21837.58,15.326,180.0,08/14/2010,25-05-27,197.88,Active,Stocks,Medical,,,609.0,Austin Baird
LOAN000359,CUST003802,BR042,Business,77403.24,73154.01,55278.05,14.121,180.0,23-06-07,20/03/2038,USD 430.02,Active,N/A,Medical,0.0,,,Ashley Beck
LOAN000360,CUST004776,,Personal,31399.81,25563.02,20510.3,14.546,48.0,14-03-13,20/02/2018,654.16,open,N/A,,,,809.0,Cody Fitzpatrick
LOAN000361,CUST004576,BR015,home equity,35299.57,33470.79,23471.45,4.491,36.0,01/12/2012,14-12-27,980.54,Bad Debt,PROPERTY,Education,262.0,11.0,500.0,Shawn Johnson
LOAN000362,,BR012,Personal,2859.24,2782.19,2385.66,7.419,60.0,2014-11-23,19-10-28,47.65,Delinquent,Property,Debt consolidation,263.0,18.0,538.0,Dean Howard
LOAN000363,CUST003967,,Home Equity,49356.1,,42246.47,13.703,360.0,26-02-2020,49-09-21,,PAID OFF,Property,Vehicle purchase,,0.0,717.0,Nathan Caldwell
LOAN000364,CUST002554,BR014,Student,,"$2,373.84",1341.46,9.748,12.0,2019-04-26,20-04-20,198.14,charged off,none,Wedding,326.0,1.0,427.0,Tyler Smith
LOAN000365,CUST002905,BR015,Mortgage,34992.87,32799.64,8559.63,6.164,48.0,10-10-18,14-09-27,729.02,Current,Stocks,Travel,0.0,0.0,316.0,Kara Ballard
LOAN000366,CUST003955,BR008,Home Equity,44658.22,38834.5,14789.59,16.611,36.0,2015-10-13,09/27/2018,1240.51,Defaulted,property,Business expansion,317.0,23.0,795.0,John Myers
LOAN000367,CUST002007,BR047,Auto,54232.57,44619.18,,4.754,360.0,09/06/2016,46-01-03,150.65,Active,none,Home improvement,,,,Shelia Alexander
LOAN000368,CUST004862,BR014,Personal,42231.47,35492.56,27929.26,5.11,120.0,10-04-2021,,351.93,Default,Vehicle,Travel,274.0,14.0,627.0,Nicholas Adams
LOAN000369,CUST003503,BR048,Auto,17784.92,17020.9,6191.0,6.738,360.0,08/04/2017,2046-11-02,49.4,Delinquent,property,Vehicle purchase,12.0,14.0,598.0,Matthew Day
LOAN000370,CUST000457,BR022,Mortgage,35778.9,,9812.7,5.791,48.0,19-12-02,23-11-11,745.39,Active,N/A,Vehicle purchase,,0.0,546.0,Christopher Byrd
LOAN000371,CUST001912,BR010,Home Equity,9236.08,8363.56,3936.86,7.776,12.0,2011-10-04,12-09-28,769.67,Default,None,Wedding,205.0,7.0,809.0,Brandy Oconnor
LOAN000372,CUST004131,BR042,Home Equity,7499.87,6659.43,661.03,14.446,180.0,19-02-26,09-12-2033,41.67,Paid Off,Stocks,Wedding,0.0,0.0,795.0,Jacqueline Wilson
LOAN000373,CUST000662,BR048,Business,38753.97,34108.5,2860378.0,17.139,180.0,08/08/2019,2034-05-21,215.3,Active,Stocks,Travel,,0.0,747.0,Diana Gomez
LOAN000374,CUST003039,BR015,Personal,,,7151.76,6.065,60.0,"May 15, 2012",99/99/9999,151.36,Defaulted,PROPERTY,Home improvement,191.0,19.0,395.0,John Nunez
LOAN000375,CUST000625,BR002,Home Equity,34742.21,34554.0,2796.25,4.269,60.0,,"January 06, 2026",579.04,Defaulted,Stocks,Vehicle purchase,295.0,9.0,796.0,Austin Fuller
LOAN000376,CUST002524,BR028,Business,61211.32,53199.08,11783.89,17.82,24.0,,16-01-08,2550.47,Paid Off,none,Home improvement,0.0,0.0,375.0,Amber Myers
LOAN000377,CUST000321,BR037,home equity,32533.94,30045.09,25318.69,9.714,60.0,08-06-2011,12-05-2016,542.23,Bad Debt,none,Emergency,136.0,5.0,765.0,Amy Buchanan
LOAN000378,CUST004933,,Mortgage,55086.92,USD 53804.04,16590.79,13.956,48.0,99/99/9999,"October 27, 2022",1147.64,Paid Off,,,0.0,,436.0,Ryan Harris
LOAN000379,CUST001441,BR022,Home Equity,9591.29,8505.74,,8.845,60.0,99/99/9999,02-03-2027,159.85,Paid Off,None,Home improvement,0.0,0.0,696.0,Jennifer White
LOAN000380,CUST001890,BR038,Mortgage,48059.86,41918.79,37680.96,8.376,84.0,10/10/2016,04-09-2023,572.14,Defaulted,property,Travel,130.0,10.0,518.0,Derek Torres
LOAN000381,CUST004814,BR019,Mortgage,27919.47,24997.85,22750.87,16.679,12.0,28/09/2014,"September 23, 2015",2326.62,Paid Off,property,Travel,,0.0,503.0,Katie Rhodes
LOAN000382,,BR013,Auto,37070.95,35759.34,USD 31876.60,16.954,120.0,99/99/9999,2023-10-08,308.92,Paid Off,Vehicle,Travel,0.0,,382.0,Chase Woodard
LOAN000383,CUST001863,BR033,Business,,3244.59,2330.98,4.021,180.0,22-05-19,01-03-2037,18.26,Charged Off,N/A,Business expansion,318.0,13.0,726.0,Ashley Arnold
LOAN000384,CUST004467,BR010,Business,66033.9,56433.35,25369.29,13.653,84.0,09-08-2015,2022-07-03,786.12,delinquent,Vehicle,Education,46.0,9.0,728.0,Brandon Russell
LOAN000385,CUST004176,BR010,business,14222.51,13643.84,6170.25,17.866,36.0,10-05-03,2013-04-17,395.07,Active,Vehicle,Debt consolidation,0.0,0.0,,Larry Wood
LOAN000386,CUST003151,BR015,Student,39528.86,3849392.20991074,2657.34,16.587,24.0,24-11-2015,NULL,1647.04,Defaulted,Stocks,Emergency,360.0,23.0,541.0,John Johnson
LOAN000387,CUST004798,BR023,Personal,86973.17,86256.54,64225.3,10.857,12.0,,NULL,7247.76,Paid Off,none,Travel,,,560.0,Nathan Jones
LOAN000388,CUST001671,,Personal,21082.95,20002.08,1881.64,14.116,60.0,14/03/2016,21-02-16,351.38,active,,Business expansion,0.0,0.0,355.0,Karen Wright
LOAN000389,CUST000502,BR005,Auto,,21670.48,19366.81,,,04-09-2013,14/07/2023,218.63,late,Vehicle,Education,210.0,8.0,,Laurie Howell
LOAN000390,CUST001579,BR006,Personal,15193.28,13856.02,12708.43,12.607,240.0,,17/01/2040,63.31,Completed,property,Travel,,,498.0,Charles Fritz
LOAN000391,CUST003608,BR043,Auto,60891.66,50483.64,42913.07,10.187,36.0,2018-07-25,2021-07-09,1691.44,In Progress,Property,Vehicle purchase,,,554.0,Chad Evans
LOAN000392,CUST000335,BR017,Auto,57940.12,USD 48251.52,5864.57,16.56,180.0,11-11-2021,08/24/2036,,Delinquent,PROPERTY,Medical,264.0,1.0,375.0,
LOAN000393,CUST001429,BR044,Student,67218.21,63163.45,,9.827,120.0,99/99/9999,16-07-2030,560.15,In Progress,Property,Debt consolidation,0.0,,,Autumn Garcia
LOAN000394,CUST000913,BR020,Mortgage,77329.74,68126.57,32820.3,7.693,60.0,19-12-2016,23-11-2021,1288.83,Paid Off,None,Home improvement,0.0,,345.0,Angel Moore MD
LOAN000395,CUST003256,BR044,Business,1000,842.55,344.21,14.66,60.0,09-10-2016,13-09-2021,16.67,PAST DUE,Property,Wedding,270.0,7.0,802.0,Andrea Clark
LOAN000396,CUST001049,BR032,Business,33846.81,31482.97,,9.186,60.0,08-01-2015,19-12-13,564.11,Active,Vehicle,Wedding,0.0,,492.0,
LOAN000397,CUST004292,BR043,Auto,26267.89,25452.28,USD 24509.06,15.712,36.0,29/10/2018,13-10-2021,729.66,Closed,property,Business expansion,,0.0,,Kelli Jones
LOAN000398,CUST002914,BR023,Business,"$10,890.36",8739.4,2961.97,9.768,12.0,21-05-10,99/99/9999,$907.53,Active,Stocks,Vehicle purchase,,0.0,329.0,Veronica Wood
LOAN000399,CUST003605,BR029,Auto,52321.63,50035.64,49414.53,5.174,360.0,11/04/2018,30-05-2048,145.34,Paid Off,PROPERTY,Home improvement,0.0,,803.0,Sydney Daniel
LOAN000400,CUST004035,BR036,Auto,,16249.59,16285.2,3.914,60.0,01/04/2016,08/12/2020,328.66,Defaulted,Vehicle,,190.0,23.0,579.0,Stephanie Walton
LOAN000401,CUST003703,BR034,Student,74559.81,,60345.42,2.981,360.0,"August 06, 2018",2048-03-01,207.11,Default,N/A,,10.0,9.0,761.0,
LOAN000402,CUST000859,BR007,Home Equity,53414.21,52012.25,6921.73,7.226,48.0,99/99/9999,25/01/2024,,Defaulted,,Emergency,271.0,7.0,405.0,Alexandra Parker
LOAN000403,CUST003311,BR030,Student,9598.16,8806.27,7538.64,2.618,360.0,30/05/2015,44-12-23,26.66,charged off,,Emergency,158.0,11.0,622.0,Carmen Palmer
LOAN000404,CUST001043,BR016,Student,,28875.44,16681.02,15.683,120.0,99/99/9999,25-10-31,289.8,Paid Off,none,Debt consolidation,0.0,,488.0,Kevin Barnes
LOAN000405,CUST004142,BR011,Mortgage,49520.46,45442.77,44139.13,14.083,48.0,13-01-2018,12/23/2021,1031.68,Active,none,Debt consolidation,0.0,0.0,376.0,Shawn Farmer
LOAN000406,CUST003255,BR011,Home Equity,,65279.35,USD 2076.02,7.374,120.0,"February 26, 2013","January 05, 2023",,In Progress,PROPERTY,Debt consolidation,0.0,,368.0,
LOAN000407,CUST004688,BR039,Student,2535.9,2514.25,2010.14,3.07,60.0,22/04/2018,27/03/2023,42.27,delinquent,Stocks,Home improvement,321.0,16.0,647.0,Brandy Lane
LOAN000408,CUST003301,BR004,Mortgage,"54088,57",46878.09,1478.5,8.628,60.0,21/07/2014,25/06/2019,901.48,Active,Savings,,,,550.0,
LOAN000409,CUST000582,BR004,Mortgage,"$56,905.84",55183.06,49817.56,6.693,24.0,2010-10-23,12-10-12,2371.08,Paid Off,property,Education,0.0,,622.0,Samuel Cain
LOAN000410,CUST003704,BR001,Personal,38989.63,,37095.18,5.916,48.0,2018-08-30,2022-08-09,812.28,late,N/A,Business expansion,335.0,18.0,789.0,John Wood
LOAN000411,CUST004791,BR047,Student,67238.44,56074.12,16677.61,16.577,360.0,04/14/2013,11/08/2042,186.77,Closed,N/A,Travel,0.0,,540.0,William Moore
LOAN000412,CUST001886,BR020,auto,10522.59,9326.79,2720.5,13.323,60.0,16-05-2022,20/04/2027,175.38,Delinquent,Savings,Vehicle purchase,323.0,19.0,584.0,
LOAN000413,CUST001768,BR017,Student,27429.63,22564.28,3666.26,15.467,360.0,2015-04-20,2044-11-13,76.19,Paid Off,none,Debt consolidation,,0.0,483.0,Richard Gonzalez
LOAN000414,CUST004047,BR049,Mortgage,11715.62,9831.15,1178.93,14.193,48.0,"December 23, 2017",21-12-02,244.08,Active,Stocks,Travel,0.0,0.0,612.0,
LOAN000415,CUST003461,BR006,Mortgage,34541.75,32599.72,18355.15,15.099,60.0,16/12/2020,"November 20, 2025",575.7,Defaulted,Vehicle,Education,207.0,20.0,816.0,Eric Bradley
LOAN000416,CUST001937,BR044,Student,USD 38077.07,36507.42,3804.96,3.172,60.0,NULL,01/11/2017,634.62,Delinquent,Savings,,41.0,20.0,563.0,Aaron Vega
LOAN000417,CUST000667,BR050,Personal,USD 38917.65,USD 33597.63,32826.73,8.796,60.0,2013-12-19,,648.63,Paid Off,,Emergency,,,405.0,Derek Tucker
LOAN000418,CUST004502,BR010,Mortgage,4015.19,3948.65,110.95,6.548,48.0,28-04-2012,"April 07, 2016",83.65,paid,None,Home improvement,,,417.0,Keith Wells
LOAN000419,CUST004198,BR004,Student,66548.5,55728.07,18981.91,7.345,60.0,18/05/2013,22/04/2018,,Active,Vehicle,Emergency,,,318.0,Larry Booth
LOAN000420,CUST003476,BR015,Auto,41173.98,33404.92,12657.76,16.906,120.0,18-12-31,28-11-08,343.12,Active,,Travel,0.0,,818.0,David Gross
LOAN000421,CUST002751,BR013,Mortgage,"$29,325.70",,26749.34,13.412,120.0,"September 17, 2012",27-07-2022,244.38,DEFAULT,none,Home improvement,218.0,14.0,562.0,Janet Pham
LOAN000422,CUST004221,BR043,Student,USD 8057.87,6751.2,2657.55,15.315,,"June 24, 2019",13/06/2021,335.74,Defaulted,None,Travel,67.0,24.0,,Amy Harris
LOAN000423,CUST000347,BR005,Student,66126.61,57192.74,"65876,57",12.855,48.0,21-06-07,17-05-2025,1377.64,Delinquent,none,Medical,77.0,4.0,805.0,
LOAN000424,CUST003704,BR017,Business,88448.77,73411.97,25439.69,13.787,84.0,14/04/2016,2023-03-09,1052.96,Delinquent,Property,Vehicle purchase,170.0,14.0,,Christy Campbell
LOAN000425,CUST003232,BR039,Mortgage,88743.31,75019.69,"$32,308.48",11.357,36.0,"February 11, 2017",27-01-2020,2465.09,Active,Savings,Medical,0.0,,344.0,Christopher Klein
LOAN000426,CUST004418,BR029,Mortgage,40776.34,33873.11,33884.83,10.473,84.0,"February 09, 2011",NULL,485.43,charged off,None,Emergency,322.0,8.0,604.0,Patricia Roth
LOAN000427,,BR024,Home Equity,61466.72,53797.37,1971.01,8.5,12.0,"August 13, 2020","August 08, 2021",5122.23,Paid Off,property,Medical,,0.0,562.0,Kathleen Morris
LOAN000428,CUST002115,BR010,home equity,47959.78,46639.31,15330.46,14.909,120.0,15/12/2014,99/99/9999,399.66,Default,Property,Travel,11.0,1.0,797.0,John Flores
LOAN000429,CUST001695,BR048,Personal,13926.43,USD 13487.44,1905.22,9.958,120.0,27/05/2023,33-04-04,,open,N/A,Home improvement,0.0,,763.0,Robert Gomez
LOAN000430,CUST001101,BR017,Student,51603.99,48309.49,22891.6,17.845,120.0,01/09/2020,"July 11, 2030",430.03,delinquent,property,Medical,184.0,2.0,552.0,William Edwards
LOAN000431,CUST004684,BR021,Business,64702.46,55354.89,62877.38,13.724,240.0,2020-07-05,03/22/2040,269.59,Paid Off,Stocks,Education,,0.0,436.0,Courtney Huff
LOAN000432,CUST002887,BR031,Personal,937161.0,8498.19,216.01,4.341,240.0,15-08-26,35-05-13,39.05,Active,Property,Vehicle purchase,,0.0,429.0,Barbara Guzman
LOAN000433,CUST004407,BR037,Business,11011.51,10170.68,9919.04,9.192,48.0,14-04-04,18-03-14,229.41,open,PROPERTY,Debt consolidation,,0.0,799.0,Kristen Cunningham
LOAN000434,CUST002484,BR039,Business,12893.83,11332.62,USD 11202.51,10.398,360.0,31-05-2019,48-12-24,35.82,Active,PROPERTY,,0.0,0.0,713.0,Eddie Mitchell
LOAN000435,CUST002160,BR001,Mortgage,50688.14,50372.31,12245.36,12.958,180.0,2019-12-07,19-09-2034,281.6,Defaulted,none,Debt consolidation,65.0,13.0,771.0,Jillian Myers
LOAN000436,CUST003369,BR050,Business,1000,861.01,426.21,4.682,48.0,"March 11, 2015",19-02-18,20.83,Defaulted,PROPERTY,Medical,124.0,1.0,531.0,Charles Murphy
LOAN000437,,BR002,Personal,27445.84,25285.57,17228.02,11.318,60.0,2010-06-30,06/04/2015,457.43,Bad Debt,N/A,Wedding,294.0,22.0,558.0,Brian Richardson
LOAN000438,CUST000239,BR035,Student,,34991.89,31454.96,5.508,60.0,12-02-2023,17-01-2028,600.63,Paid Off,None,Vehicle purchase,0.0,0.0,820.0,Matthew Boone
LOAN000439,CUST003405,BR041,Auto,16115.05,13051.02,"4700,65",16.999,84.0,12/27/2021,2028-11-20,191.85,Paid Off,Stocks,Education,,0.0,486.0,Patty Robinson
LOAN000440,CUST001253,BR018,Business,47319.92,46105.12,32950.35,5.953,24.0,,04-07-2022,197166.0,Delinquent,Stocks,Vehicle purchase,170.0,4.0,568.0,Angel Brown
LOAN000441,CUST004172,BR034,Home Equity,"56853,4",53926.57,24804.64,3.755,24.0,,12/13/2018,2368.89,paid off,N/A,,0.0,0.0,361.0,Patrick Bond
